id,choice,zip,year_birth,gender,annual_income,household_annual_income,number_vehicles,level_education,work_type,children_home,household_type,status_in_household,type_residence,housing_tenure_type,origin,race,citizenship,risk_activities_sports,price_attribute,availability,probability_fatality,training,number_passengers,takeoff_location,price_dollars,alternative
1,0,55906,1976,1,8,9,1,7,1,2,1,1,1,1,2,3,1,1,2,0,1,0,0,0,453125,suborbital
1,0,55906,1976,1,8,9,1,7,1,2,1,1,1,1,2,3,1,1,2,0,0,1,0,0,453125,orbital
1,1,55906,1976,1,8,9,1,7,1,2,1,1,1,1,2,3,1,1,0,0,0,0,1,0,3750,moon_trip
1,0,55906,1976,1,8,9,1,7,1,2,1,1,1,1,2,3,1,1,-1,-1,-1,-1,-1,-1,0,not_travel
2,1,55906,1976,1,8,9,1,7,1,2,1,1,1,1,2,3,1,1,2,0,0,1,0,0,453125,suborbital
2,0,55906,1976,1,8,9,1,7,1,2,1,1,1,1,2,3,1,1,2,0,0,1,1,1,453125,orbital
2,0,55906,1976,1,8,9,1,7,1,2,1,1,1,1,2,3,1,1,2,1,1,0,0,0,453125,moon_trip
2,0,55906,1976,1,8,9,1,7,1,2,1,1,1,1,2,3,1,1,-1,-1,-1,-1,-1,-1,0,not_travel
3,0,55906,1976,1,8,9,1,7,1,2,1,1,1,1,2,3,1,1,1,1,1,1,0,0,62500,suborbital
3,0,55906,1976,1,8,9,1,7,1,2,1,1,1,1,2,3,1,1,2,1,0,0,0,1,453125,orbital
3,1,55906,1976,1,8,9,1,7,1,2,1,1,1,1,2,3,1,1,1,0,0,0,1,1,62500,moon_trip
3,0,55906,1976,1,8,9,1,7,1,2,1,1,1,1,2,3,1,1,-1,-1,-1,-1,-1,-1,0,not_travel
4,0,55906,1976,1,8,9,1,7,1,2,1,1,1,1,2,3,1,1,0,1,1,0,1,0,3750,suborbital
4,0,55906,1976,1,8,9,1,7,1,2,1,1,1,1,2,3,1,1,1,0,1,0,0,1,62500,orbital
4,1,55906,1976,1,8,9,1,7,1,2,1,1,1,1,2,3,1,1,1,1,0,1,0,0,62500,moon_trip
4,0,55906,1976,1,8,9,1,7,1,2,1,1,1,1,2,3,1,1,-1,-1,-1,-1,-1,-1,0,not_travel
5,1,55906,1976,1,8,9,1,7,1,2,1,1,1,1,2,3,1,1,1,1,0,1,1,0,62500,suborbital
5,0,55906,1976,1,8,9,1,7,1,2,1,1,1,1,2,3,1,1,1,0,0,0,1,1,62500,orbital
5,0,55906,1976,1,8,9,1,7,1,2,1,1,1,1,2,3,1,1,0,0,1,1,1,0,3750,moon_trip
